gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene61,0.0818202,0.07462816,0.04776552,0.038180105,0.015960671,0.025188275,0.032280505,0.038545977,0.0965764497505237,0.0188037843453038,3.0223054178551e-07,0.0934024473991652,0.0249338562900029,0.0008433037640052,0.0835140570722375,0.0361640564697528,0.0249846070624573,0.0804590963622178,0.0408695482723535,0.0524866188336053,3.0223054178551e-07,0,1.8973896453999828e-08,9.547721823932598e-06,0.0006386272575419349,0.001722623091305886,,0,inf,,0.0965764497505237,,0,False
Gene35,0.089942895,0.08908663,0.08828225,0.075368926,0.01466023,0.023579901,0.03186191,0.041512407,0.09185860482783,0.011715519347964,4.836224391620921e-09,0.090768179936651,0.0148729103673399,9.96160899076147e-05,0.0898246214019016,0.0179104210812922,0.0018332222548749,0.0872032492627992,0.0233331961058542,0.0125913924949884,4.836224391620921e-09,0,0.0,1.0336176359260207e-13,3.8384551093173513e-10,6.684950418778257e-07,,0,inf,,0.09185860482783,,0,False
Gene21,0.074370354,0.10623869,0.0707034,0.063431405,0.015173379,0.02407737,0.031969562,0.038822897,0.0665072597768707,0.0155543566420055,1.03172719081989e-05,0.0911919781160384,0.0241677694113274,8.29922614604974e-05,0.0552713556292171,0.031160243391105,0.0383701861347295,0.0467677236430575,0.0365330151783973,0.100689381030114,1.03172719081989e-05,0,0.0,3.362754158242609e-06,1.7032091289559403e-06,1.3682725638841653e-05,,0,inf,,0.0911919781160384,,0,False
Gene85,0.088593096,0.086364545,0.045749065,0.06284013,0.015901512,0.024770007,0.033025343,0.042117644,0.0911442043137449,0.0178003876574678,1.02023838646467e-07,0.0877703186670949,0.0246051408970269,0.0003194077338968,0.060371566962598,0.0396581262975322,0.0613682986671615,0.070435562009934,0.0398835519326969,0.0486786176498093,1.02023838646467e-07,0,4.816932408502339e-10,2.5427544684264447e-06,0.0002151214379809696,0.0005799370349747202,,0,inf,,0.0911442043137449,,0,False
Gene43,-0.07479437,-0.1132847,-0.054548413,-0.10608049,0.014609194,0.022403197,0.030422483,0.038608,-0.0609642826226255,0.015050206429572,2.55875061577759e-05,-0.0898960330463121,0.0227581010680539,3.85932076830686e-05,-0.0296622099351868,0.0299977185343394,0.16114266844344,-0.0676251843406457,0.0365207405777862,0.0317536512375901,2.55875061577759e-05,0,0.0,6.5572099905431e-07,6.799695917436566e-09,0.00014467785023830615,,0,inf,,0.0898960330463121,,0,False
Gene24,0.103238404,0.08947225,0.15034744,0.13467498,0.014894425,0.023944033,0.032771632,0.04014974,0.0771458067632462,0.0149555480890319,1.21568256773285e-07,0.0497192952600297,0.0237655571385777,0.0182829687242956,0.0897924680855505,0.0312669759834371,0.0023719484712844,0.0654477818136109,0.0367560656562052,0.0376968939475455,1.21568256773285e-07,0,1.1102230246251565e-16,1.2787981784612157e-10,0.0002119602915535701,0.00012577306503724905,,0,inf,,0.0897924680855505,,0,False
Gene73,0.09240312,0.10245885,0.14246696,0.10706703,0.015232038,0.024918942,0.033539873,0.041459605,0.0716223386045325,0.0143232774143744,1.02950906307054e-06,0.0688854011723275,0.0223922284944825,0.0020370509268723,0.0884691950197202,0.0296077124272992,0.0014105511414994,0.0567199279686023,0.0348680382002642,0.063187253673869,1.02950906307054e-06,0,0.0,2.3798637505123565e-09,8.26266757153471e-05,1.985079393529432e-05,,0,inf,,0.0884691950197202,,0,False
Gene89,0.065684535,0.1054257,0.088553846,0.06157354,0.014946658,0.023678178,0.0329833,0.040178686,0.0558398834117103,0.0149569437890661,9.85923930365039e-05,0.0872754204681717,0.0233197386247502,9.30361692033202e-05,0.0654183592709651,0.0312987836932435,0.0182419038813848,0.0391958682935979,0.0366802506103681,0.142497085218307,9.30361692033202e-05,1,0.0,6.695210194029855e-07,8.543758924450806e-06,5.827546162739949e-06,,0,inf,,0.0872754204681717,,0,False
Gene53,0.07975821,0.1260535,0.10457729,0.13986878,0.015234733,0.024369638,0.035001528,0.04228228,0.0553638870182603,0.0147505293758284,8.84919870827426e-05,0.0841854192533902,0.0234303631174089,0.0001317847108969,0.0500196322759065,0.0318241841093742,0.0582452330057127,0.0690832458610576,0.036959085398216,0.0302880632410451,8.84919870827426e-05,0,0.0,3.847910021725909e-07,1.2218018706766642e-06,0.0001983965111674868,,0,inf,,0.0841854192533902,,0,False
Gene65,0.08547055,0.117956236,0.115489036,0.09922611,0.016285017,0.025240554,0.03231295,0.04104659,0.0672055708637658,0.0158550607200743,2.89333306565698e-05,0.0838575626597024,0.0238709950124955,0.0002348599765268,0.0751495572792672,0.0288074356248394,0.0061451326028688,0.0567181694506402,0.035414060924683,0.0644024112944845,2.89333306565698e-05,0,0.0,5.710675017311928e-07,7.322344538596148e-06,2.6060984940956544e-05,,0,inf,,0.0838575626597024,,0,False
