gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene41,6,1,,,False,0.12733798433790955,2.220446049250313e-16,,1.12281969013755e-28,4.6447305068755165e-07,0.06282417896085318,0.009737683224197762,5.5317361802309506e-11,0.11460832605401854,0.014111703204603584,2.220446049250313e-16,0.12733798433790955,0.018481840448194044,2.791655795419956e-12,0.10333590753832733,0.021965069854488744,1.272093332227442e-06
Gene42,6,0,,,False,0.11663675105015844,0.0,,0.0,5.4022237372976566e-15,-0.11663675105015844,0.0064147688713272555,0.0,-0.10541947029938603,0.00679833051773235,0.0,-0.10852439492601984,0.006932267828948275,0.0,-0.10514808797229087,0.007230473132124433,0.0
Gene43,6,1,,,False,0.08281568589634138,1.6425383275731065e-10,,1.11022302462516e-16,7.475801992585158e-09,-0.04805718247455328,0.009855136702200342,5.403099077039286e-07,-0.08281568589634138,0.013177369264126593,1.6425383275731065e-10,-0.02535858519712585,0.016633592083771142,0.0636868708730518,-0.06676828544669676,0.020162589297240914,0.00046399681074960064
Gene44,6,0,2.0,d2,True,0.31845015835975826,0.0,0.0,1.1022769744430901e-24,4.363984279131208e-12,0.10215749307807012,0.009951123640840089,0.0,0.08923817811661916,0.012667918363583542,9.311440507531188e-13,0.31845015835975826,0.01803495050656025,0.0,0.07890390010437412,0.019911705246721513,3.705511083584856e-05
Gene45,6,0,,,False,0.057973360681326185,0.0,,0.0,7.97527702679247e-14,-0.057334836436027055,0.006463419281938691,0.0,-0.03137530674538201,0.007452661754507529,1.277156232715182e-05,-0.057505283379161595,0.007783168219560874,7.427392034742297e-14,-0.057973360681326185,0.008383559378268299,2.3372415114408795e-12
Gene46,6,1,1.0,d1,True,0.712825174280086,0.0,0.0,0.0,0.0,0.02289579543277944,0.012106512286703463,0.029299049450616177,-0.712825174280086,0.019245033204207007,0.0,0.032593675207841455,0.023268261311245316,0.08064019185339089,0.07508493653798375,0.02971121978847713,0.0057494935376050105
Gene47,6,1,1.0,d1,True,0.4061711730627341,0.0,0.0,0.0,3.717464876008001e-30,-0.0066373464406682,0.009041868699310937,0.23145364872587404,0.4061711730627341,0.014517434930151297,0.0,-0.028798949264756027,0.018374072799646698,0.05851425089762097,-0.045612050332112464,0.02287982196462985,0.023100671901316705
Gene48,6,3,,,False,0.07801235408365066,2.0816681711721685e-14,,0.0,0.0004964079509442742,0.036673237887413564,0.007242875569540882,2.059727055025995e-07,0.04192403024114841,0.008665896527061241,6.563612748866632e-07,0.043873169205084175,0.00995231826610011,5.208377467202929e-06,0.07801235408365066,0.01032491800711073,2.0816681711721685e-14
Gene49,6,0,0.0,d0,True,0.3729494800573657,0.0,0.0,1.10706308839277e-60,1.2719259658266507e-30,0.3729494800573657,0.011880985209378955,0.0,0.13358819512481623,0.01680529008506367,9.43689570931383e-16,0.08024220580382699,0.021369087428809604,8.664997308605038e-05,0.07199027627309239,0.02560012432312337,0.0024609101266057642
Gene5,6,2,,,False,0.04122204663414174,7.894559867493989e-07,,5.35874071222713e-17,0.001303660362603,0.03135148221356839,0.006774055630108723,1.8445541338785176e-06,0.027072401741519717,0.0079861108323187,0.0003495451705997077,0.04122204663414174,0.008586173730480763,7.894559867493989e-07,0.03892139732814086,0.009723573211114412,3.1300262295252956e-05
