guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g285,Gene85,0.28191617,0.2796876,0.23907195,0.25616303,0.020371819,0.028068522,0.035370205,0.043983936
g286,Gene86,0.12997091,0.13544735,0.11188617,0.14886005,0.018513363,0.026317464,0.03397529,0.041412555
g287,Gene87,-0.16279766,-0.20160322,-0.17310637,-0.15515925,0.018188803,0.027367633,0.03490819,0.042948727
g288,Gene88,0.026599461,0.046792526,0.044445638,0.043827724,0.019815406,0.027357517,0.03417967,0.043046933
g289,Gene89,0.10810386,0.14784501,0.13097328,0.10399286,0.018232247,0.025733177,0.03460686,0.041506242
g29,Gene29,-0.22170675,-0.23476158,-0.21186943,-0.2492671,0.019400587,0.026348833,0.03292531,0.039569695
g290,Gene90,0.096903495,0.16296622,0.113617495,0.11375525,0.018448438,0.026326241,0.034790855,0.042069256
g291,Gene91,0.19024199,0.1673926,0.15876226,0.13360953,0.018449577,0.02659948,0.03424179,0.043717355
g292,Gene92,-0.3520815,-0.3173237,0.34441137,-0.33018887,0.021111308,0.028573029,0.038505837,0.04613203
g293,Gene93,0.33634087,0.36740786,0.33378932,0.3277968,0.018798914,0.025922814,0.0338846,0.041182674
g294,Gene94,-0.12568462,-0.12799907,-0.15422563,-0.13488217,0.018894171,0.027861381,0.0343168,0.042184584
g295,Gene95,0.11466717,0.1471049,0.19635634,0.14093533,0.018003399,0.024960784,0.032445833,0.041092053
g296,Gene96,0.04374824,0.005691485,-0.9283902,-0.041236755,0.018364102,0.02587988,0.037210573,0.047925822
g297,Gene97,-0.08965697,-0.087873235,-0.06025546,-0.066449456,0.019309098,0.0275298,0.034612123,0.04136762
g298,Gene98,0.019416988,0.10314743,0.06712191,0.06360986,0.019690206,0.027152196,0.03339501,0.039310597
g299,Gene99,-0.118156865,-0.07781118,-0.0764324,-0.04217687,0.019773934,0.027229637,0.03419867,0.04405101
g3,Gene3,0.009565459,-0.35808963,0.03837386,0.86389434,0.020235823,0.032282475,0.040846962,0.052405518
g30,Gene30,-0.2493886,-0.24348097,-0.21719165,-0.25064477,0.020289516,0.030084353,0.037583496,0.04389233
g300,Gene100,0.17318863,0.10940973,0.17482108,0.17530014,0.01968171,0.025855621,0.03200103,0.04166801
g301,Gene1,0.26530123,0.27758917,0.2666995,0.29317433,0.018207936,0.026107576,0.035186443,0.042887427
g302,Gene2,-0.33028203,-0.28937367,0.29976562,-0.28232297,0.021024635,0.027503949,0.03598008,0.04526863
g303,Gene3,-0.4726257,-0.84027994,-0.4438172,0.3817034,0.020810684,0.03240966,0.04052971,0.05194954
g304,Gene4,-0.055014737,-0.067882776,-0.033730928,-0.069121234,0.018372238,0.026199708,0.033460718,0.040929034
g305,Gene5,-0.06835329,-0.09044106,-0.08026341,-0.09756437,0.019246535,0.027563272,0.035522673,0.044738885
g306,Gene6,-0.023789326,-0.061874665,-0.06655647,-0.017579714,0.019690873,0.027626524,0.034693833,0.042596243
g307,Gene7,0.15389556,0.1638172,0.16993825,-0.25092196,0.018764252,0.024528675,0.032772884,0.039816774
g308,Gene8,0.115861274,0.06830248,0.071276866,0.1101188,0.020945968,0.02964563,0.037598543,0.04506032
g309,Gene9,0.46269253,0.2825152,0.16889203,0.2729585,0.01936476,0.029052839,0.036417283,0.043962106
g31,Gene31,0.23437092,0.24774726,0.25159132,0.27040792,0.020176532,0.027717507,0.03626481,0.04370946
g310,Gene10,0.5844476,0.036914922,-0.21520083,-0.09000857,0.028511582,0.036301225,0.045757607,0.051866677
g311,Gene11,-1.1949192,-0.55183697,-0.42636144,-0.45332122,0.026896806,0.037142526,0.043154962,0.047765147
g312,Gene12,0.21766344,0.19699636,0.23107892,0.17553763,0.019717889,0.026977925,0.03396938,0.04294379
