guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g39,Gene9,0.25863957,0.2663913,0.054450944,-0.0385896,0.123497695,0.1404757,0.16510159,0.20520793,0.151651574253684,0.120411090675232,0.151651574253684,0.120411090675231,0.151651574253684,0.120411090675232,0.151651574253684,0.120411090675232,0.120411090675231,1
g4,Gene4,-0.019498698,0.022289855,-0.042976215,-0.055627298,0.13333954,0.15256432,0.17809254,0.19370635,-0.00665214015124093,0.781088927135905,-0.00665214015124093,0.781088927135905,-0.00665214015124093,0.781088927135905,-0.00665214015124093,0.781088927135905,0.781088927135905,0
g40,Gene10,-0.053486872,-0.0014083451,0.05863825,0.038063888,0.12620755,0.15265448,0.17522149,0.20177495,-0.00120850005083449,0.813496608451402,-0.00120850005083449,0.813496608451402,-0.00120850005083449,0.813496608451402,-0.00120850005083449,0.813496608451402,0.813496608451402,1
g41,Gene11,-0.08570386,-0.05236695,-0.0834265,0.100078516,0.12555897,0.14879301,0.17608407,0.1995843,-0.0183761880012317,0.70828310616186,-0.0183761880012317,0.70828310616186,-0.0183761880012317,0.70828310616186,-0.0183761880012317,0.70828310616186,0.70828310616186,2
g42,Gene12,-0.1614154,-0.011744912,0.019164808,0.0065098377,0.13910025,0.16575891,0.18537462,0.20593375,-0.0231852469295335,0.680503973183352,-0.0231852469295335,0.680503973183352,-0.0231852469295335,0.680503973183352,-0.0231852469295335,0.680503973183352,0.680503973183352,2
g43,Gene13,-0.27963695,-0.38786125,-0.5053183,-0.6632244,0.1377294,0.16473554,0.19253619,0.21566097,-0.390615862547848,2.61099644947027e-05,-0.390615862547848,2.61099644947027e-05,-0.390615862547848,2.61099644947027e-05,-0.390615862547848,2.61099644947027e-05,2.61099644947027e-05,0
g44,Gene14,0.023210086,0.102289304,0.1736886,0.18992642,0.12973975,0.14783883,0.16763534,0.19213662,0.0559867842933595,0.48697508308923,0.0559867842933595,0.48697508308923,0.0559867842933595,0.48697508308923,0.0559867842933595,0.48697508308923,0.48697508308923,2
g45,Gene15,0.22762628,0.31685972,0.365534,0.2333188,0.11865262,0.15184449,0.17133637,0.19818483,0.264728471828301,0.00318219637722494,0.264728471828301,0.00318219637722493,0.264728471828301,0.00318219637722493,0.264728471828301,0.00318219637722494,0.00318219637722493,2
g46,Gene16,-0.24354964,-0.34266034,-0.44298676,-0.5023899,0.15002735,0.17034958,0.18857735,0.21064429,-0.337640169111688,0.000672677335813332,-0.337640169111688,0.000672677335813332,-0.337640169111688,0.000672677335813332,-0.337640169111688,0.000672677335813332,0.000672677335813332,0
g47,Gene17,-0.17884213,-0.22452621,-0.15700682,0.01243593,0.12015953,0.15471593,0.16727844,0.20137128,-0.12188099825823,0.20898543475423,-0.12188099825823,0.20898543475423,-0.12188099825823,0.20898543475423,-0.12188099825823,0.20898543475423,0.20898543475423,0
g48,Gene18,0.34066203,0.46847343,0.456434,0.50118834,0.118976004,0.13448831,0.16009152,0.18432324,0.408472308931333,9.80754505937523e-08,0.408472308931333,9.80754505937522e-08,0.408472308931333,9.80754505937521e-08,0.408472308931333,9.80754505937522e-08,9.80754505937521e-08,2
g49,Gene19,-0.1646576,-0.29543048,-0.2851873,-0.3421007,0.14610793,0.17019446,0.19985951,0.22382703,-0.228999884544637,0.0376338935818552,-0.228999884544637,0.0376338935818552,-0.228999884544637,0.0376338935818552,-0.228999884544637,0.0376338935818552,0.0376338935818552,0
g5,Gene5,0.1147247,0.13694984,0.3646516,0.42379326,0.12933822,0.14298457,0.16547407,0.18453884,0.209665958627694,0.0277933117012519,0.209665958627694,0.0277933117012519,0.209665958627694,0.0277933117012519,0.209665958627694,0.0277933117012519,0.0277933117012519,1
g50,Gene20,0.22123277,0.31828004,0.26094952,0.12069759,0.11313291,0.1404349,0.1577975,0.18843183,0.228589819602218,0.00877735124941182,0.228589819602218,0.00877735124941181,0.228589819602218,0.00877735124941182,0.228589819602218,0.00877735124941182,0.00877735124941181,1
g51,Gene21,-0.30544254,-0.37731278,-0.45203704,-0.5885406,0.13982457,0.16722457,0.17624235,0.199087,-0.384881769494845,2.30519946847751e-05,-0.384881769494845,2.30519946847751e-05,-0.384881769494845,2.30519946847751e-05,-0.384881769494845,2.30519946847751e-05,2.30519946847751e-05,0
g52,Gene22,-0.015558152,-0.028638577,-0.17776932,-0.34598824,0.1257354,0.14482433,0.17274491,0.21555503,-0.0481296395656997,0.529771419724395,-0.0481296395656997,0.529771419724395,-0.0481296395656997,0.529771419724395,-0.0481296395656997,0.529771419724395,0.529771419724395,1
g53,Gene23,0.0644123,0.16270143,0.116250455,0.031303607,0.12862463,0.1582778,0.17706747,0.19868745,0.0473573513173574,0.537945888152899,0.0473573513173574,0.537945888152899,0.0473573513173574,0.537945888152899,0.0473573513173574,0.537945888152899,0.537945888152899,0
g54,Gene24,0.3456478,0.5165634,0.6584299,0.68982947,0.11947083,0.1422003,0.15921108,0.18753934,0.489470957761828,1.50801186122181e-10,0.489470957761828,1.50801186122181e-10,0.489470957761828,1.50801186122181e-10,0.489470957761828,1.50801186122181e-10,1.50801186122181e-10,2
