gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene73,0.037024233,0.04562898,0.0787332,0.040386993,0.010391136,0.02207544,0.031421177,0.03955485,0.0204871491737522,0.0102441937313945,0.0399711493005906,0.0185755703330689,0.0158547602326635,0.134777947404284,0.0353725204560232,0.0215694065033067,0.0653755820252326,-0.001342009635063,0.0256897118167087,0.487152865248172,0.0399711493005906,0,0.0,0.0,1.1546319456101628e-14,7.549516567451064e-15,,0,inf,,0.0353725204560232,,0,False
Gene80,-0.01191775,0.044610143,0.0030222943,0.004500529,0.010388803,0.021434309,0.027228344,0.03728224,-0.0143955905451252,0.0104535717480424,0.109564130096664,0.0351921552302169,0.0159164082504537,0.0143956645660345,-0.0036054905435595,0.0191593447928996,0.446713684409213,-0.0039354656701821,0.0241665009606936,0.45647784827234,0.0143956645660345,1,0.0,0.0,0.0,2.220446049250313e-16,,0,inf,,0.0351921552302169,,0,False
Gene43,-0.01847023,-0.050134186,0.0022932964,-0.04402613,0.009733938,0.01989018,0.028997941,0.037354868,-0.0100695571240613,0.0101775925575253,0.163828643817276,-0.0351246571929618,0.0148328020553835,0.0093867619819926,0.0151634270344795,0.0204955435108995,0.231674209972103,-0.0176687303241641,0.0245457935802138,0.238808356759367,0.0093867619819926,1,0.0,0.0,0.0,5.5067062021407764e-14,,0,inf,,0.0351246571929618,,0,False
Gene53,0.034602813,0.07586175,0.061972782,0.09543104,0.010320905,0.021004386,0.03276217,0.04093278,0.0097837694639809,0.0097230398957904,0.220472699721498,0.0348634136487286,0.0147258168562409,0.0142131252103644,0.0051580535223972,0.020294402547372,0.459136340476266,0.0177972875287446,0.0242721035422823,0.295226699992734,0.0142131252103644,1,0.0,0.0,0.0,3.0309088572266774e-14,,0,inf,,0.0348634136487286,,0,False
Gene87,0.003926711,-0.035796896,-0.0066821435,0.017056072,0.009328811,0.021732287,0.029948946,0.038591783,0.0021354632469959,0.0089663833598954,0.514356810359101,-0.0347105584092211,0.014631566480525,0.0124989315498445,-0.0065090954657384,0.0186642349786706,0.477050459174584,0.0071781392259735,0.0223297975784227,0.485201444399325,0.0124989315498445,1,0.0,0.0,0.0,0.0,,0,inf,,0.0347105584092211,,0,False
Gene76,0.022680862,0.008846858,-0.076201424,-0.018638916,0.010310838,0.022520134,0.032171197,0.041585587,0.0346542189208249,0.009746434967605,0.001100706243796,0.0285385613409499,0.0159325380474953,0.035624311097758,-0.0340491827533384,0.0219208096635867,0.0567897115018724,0.0182011570054059,0.0257107975210326,0.232867892247998,0.001100706243796,0,0.0,0.0,1.8540724511240114e-14,7.696066006701585e-13,,0,inf,,0.0346542189208249,,0,False
Gene61,0.030306038,0.03426444,0.00055826706,-0.0038802726,0.010782727,0.02232734,0.030173216,0.036496684,0.0308067324814601,0.0102037147881352,0.0012116761264149,0.0338752585124492,0.0165003047840799,0.0194861982884731,0.0054177377136858,0.021226637703696,0.400652575142243,0.0032381247854306,0.0243723735312188,0.448430252132762,0.0012116761264149,0,0.0,0.0,0.0,3.3306690738754696e-16,,0,inf,,0.0338752585124492,,0,False
Gene81,0.03535227,0.062436633,0.06672243,0.056026574,0.0106429625,0.02028159,0.02923786,0.038721938,0.0168379452792796,0.010412321951799,0.0747521528795306,0.0325142174357014,0.0156640489282385,0.0364497130542145,0.0246775451810362,0.0205914013433352,0.136043456910903,0.0068902742997765,0.0250895182990611,0.403900698693281,0.0364497130542145,1,0.0,0.0,0.0,7.105427357601002e-15,,0,inf,,0.0325142174357014,,0,False
Gene77,-0.038626738,-0.061919887,-0.051524904,-0.062846914,0.009770906,0.021588378,0.030283444,0.03927853,-0.0210454421648314,0.0101526881198579,0.0274220860880999,-0.0319606745883215,0.0158557914329326,0.0280406633569476,-0.0131507010092288,0.0206556785147345,0.269971730071234,-0.013263720883831,0.0248076104509605,0.303934496869217,0.0274220860880999,0,0.0,0.0,0.0,2.5868196473766147e-14,,0,inf,,0.0319606745883215,,0,False
Gene90,-0.01882136,0.03740816,-0.000605962,-0.004232102,0.009652151,0.021639615,0.030988267,0.039007157,-0.0194399819309387,0.0098738828497186,0.0270302782888706,0.0312890012548179,0.0154828597938987,0.0218868280491825,-0.0033446216366086,0.0208088637579588,0.437502910588244,-0.0062648418708834,0.0244631776338843,0.400126196459805,0.0218868280491825,1,0.0,0.0,0.0,1.2212453270876722e-15,,0,inf,,0.0312890012548179,,0,False
