guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g263,Gene63,0.07735328,0.06770051,0.12733732,0.09206745,0.012180513,0.014530631,0.016935136,0.020835614
g264,Gene64,-0.001037669,-0.03373285,-0.024376957,0.009755856,0.011565412,0.01408455,0.016481789,0.020724513
g265,Gene65,-0.05006061,-0.051559776,-0.063445106,-0.09644812,0.0118775135,0.014029688,0.016238274,0.020129599
g266,Gene66,0.025357243,0.027592659,0.025628101,0.09119889,0.009510091,0.012393858,0.014877805,0.018665312
g267,Gene67,-0.09259369,-0.12590657,-0.0985784,-0.03592028,0.011215637,0.0136124855,0.015508429,0.019547505
g268,Gene68,-0.0025309857,-0.027887922,-0.042786583,0.017012738,0.011093879,0.013392608,0.01581662,0.019829994
g269,Gene69,0.05202376,0.026039185,-0.02567004,-0.02209045,0.011520203,0.013951203,0.016877148,0.021476462
g27,Gene27,0.039063577,0.04230345,0.05060971,0.08583544,0.0115449065,0.013303345,0.014920911,0.019126391
g270,Gene70,0.018308755,0.011729992,0.019858774,0.031074194,0.010650726,0.013676113,0.015529163,0.019916836
g271,Gene71,0.02532278,0.08300185,0.12512465,0.0969369,0.012334235,0.015000254,0.017201593,0.0210851
g272,Gene72,-0.092809156,-0.06491412,-0.022294074,-0.018594231,0.011926943,0.01394303,0.016358534,0.019878224
g273,Gene73,-0.11851393,-0.07045111,-0.07615265,-0.0086228885,0.012868058,0.014991565,0.016991165,0.021510446
g274,Gene74,0.091631494,0.047973264,-0.016068207,0.038189914,0.01241101,0.015040266,0.01733779,0.02196262
g275,Gene75,-0.003467496,-0.024588363,-0.017910536,-0.092687875,0.012547642,0.014529487,0.016409293,0.021300744
g276,Gene76,0.030786436,0.051432632,0.06819665,0.03061872,0.011936044,0.014359429,0.01669948,0.020716248
g277,Gene77,0.035274565,0.035161648,0.043219533,0.06063797,0.010792575,0.01272612,0.01560638,0.020112641
g278,Gene78,-0.016776577,-0.0116278175,-0.030948214,-0.11374974,0.011250477,0.013607077,0.016366724,0.021246264
g279,Gene79,0.024756163,0.02215004,0.045865513,0.013384382,0.012209629,0.014302073,0.01723753,0.021179244
g28,Gene28,0.07859668,0.15288419,0.07052598,0.026545042,0.012244151,0.0152104115,0.017761791,0.021656446
g280,Gene80,0.008477505,0.030763786,-0.01879269,-0.051195942,0.011955395,0.014107298,0.016256966,0.02046657
g281,Gene81,0.021116938,0.0026812498,0.029195888,0.07786046,0.012737814,0.014657569,0.016532347,0.020118373
g282,Gene82,-0.011560796,-0.048100427,-0.05820492,0.051465716,0.011460221,0.014087867,0.016211167,0.020694973
g283,Gene83,0.09846722,0.12905864,0.0706376,0.06540001,0.011868675,0.013516965,0.016178297,0.020714285
g284,Gene84,-0.004650366,-0.027510073,-0.03815024,0.028607499,0.012305767,0.015009119,0.017525317,0.021980442
g285,Gene85,0.049454663,0.04499942,0.06025479,0.05092997,0.011699537,0.01409348,0.016092323,0.019866614
g286,Gene86,0.025627181,0.0048632203,0.04722622,0.08618534,0.011506373,0.013117972,0.014984378,0.020650208
g287,Gene87,-0.017800806,0.04373861,0.07591632,0.0366123,0.012239713,0.014604267,0.017314075,0.02169738
g288,Gene88,-0.0054350537,-0.050803587,-0.047061395,0.026880959,0.0099950675,0.01309434,0.0154361185,0.020701244
g289,Gene89,-0.007920476,9.4827265e-05,0.005220059,-0.009550549,0.010984004,0.013322166,0.015494043,0.020280596
g29,Gene29,-0.028033515,0.005858638,-0.002001793,0.009075488,0.011294866,0.013948203,0.016212465,0.020822441
g290,Gene90,-0.10672634,-0.13795638,-0.11439268,-0.16004401,0.011329718,0.01404769,0.015623027,0.019999282
g291,Gene91,0.03220113,-0.017860485,-0.0015773991,-0.02481118,0.011890637,0.0135787865,0.015636623,0.020624274
g292,Gene92,0.032804437,0.0041351686,0.012051864,0.07984236,0.012881492,0.015113715,0.01705256,0.02134821
g293,Gene93,0.08217689,-0.0067201788,0.054194342,0.023806263,0.011526022,0.014613043,0.01703606,0.021258779
g294,Gene94,0.059578236,0.09096456,0.10564946,0.13562627,0.011585464,0.014464565,0.016165722,0.020235702
g295,Gene95,-0.083830066,-0.055017736,-0.055270094,0.05312979,0.012411425,0.014345179,0.016299572,0.020469857
g296,Gene96,0.068803124,0.12147804,0.095954046,0.07361738,0.011064138,0.013387845,0.01632334,0.01916018
g297,Gene97,-0.09558475,-0.082045875,-0.12731221,-0.14352013,0.012102815,0.014270183,0.016275477,0.020208435
g298,Gene98,0.10753005,0.11568661,0.116771765,0.1739563,0.011976578,0.014662607,0.016543036,0.020440526
g299,Gene99,0.05065439,0.06222205,-0.0064701904,0.08471369,0.0112703815,0.013533314,0.01577513,0.020478088
g3,Gene3,0.06763294,0.013746572,-0.044075534,0.042402726,0.011992368,0.014621926,0.017033225,0.021004828
g30,Gene30,0.0075070513,0.017298693,-0.07436031,-0.014205787,0.012302776,0.014514255,0.017052045,0.020885302
g300,Gene100,-0.01722916,-0.0048208726,0.0009322996,0.014496286,0.010697862,0.013267309,0.015877234,0.020683475
g301,Gene1,0.06944831,0.1258415,0.12312373,0.089676574,0.012129058,0.0150380535,0.017321087,0.021776186
g302,Gene2,-0.0868943,-0.03287473,-0.0058800536,-0.009867104,0.012097943,0.01423275,0.016689518,0.02025384
g303,Gene3,0.083155505,0.029269187,-0.028552914,0.057925366,0.0120688705,0.014417906,0.016653271,0.020476917
g304,Gene4,-0.079181924,-0.055737037,-0.07913025,0.04584828,0.012419212,0.014285703,0.01632821,0.020826977
g305,Gene5,-0.04177084,-0.018612262,-0.024273936,0.12759382,0.011801302,0.014329204,0.017142572,0.021951808
g306,Gene6,-0.00975159,0.12609652,0.06452909,0.022745628,0.010705529,0.014750169,0.017260691,0.021541238
g307,Gene7,0.019645086,0.02018191,-0.0335818,0.037972346,0.011249158,0.01288069,0.0148674855,0.018983241
g308,Gene8,0.09148131,0.0071487483,0.003665809,-0.03984481,0.011672719,0.014703478,0.01668939,0.020319242
g309,Gene9,-0.09153118,-0.06701114,-0.052398514,-0.0025739982,0.012274989,0.014764248,0.016426647,0.020424342
g31,Gene31,-0.014982165,-0.014536672,-0.04800436,0.010860707,0.010480022,0.013170458,0.01582841,0.020080289
g310,Gene10,0.020038314,0.031838525,0.017928211,0.028421665,0.011804252,0.014599357,0.016977806,0.021357374
